scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,reputation_learning_rate,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_lr_global_malicious_lr_0.1,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.1,7,3105.573276014906,0.776393319003727,24844.586208119246,6.211146552029816,254.2417965419973,64638.89110890235,0.04559237703437691,0.375,1.9056390622295662,4,0.334625,1.9228543888458827,4.00425,12.4,24755.413791880754,0.17659375,1.6205276290386106
sq2_lr_global_malicious_lr_0.1,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.1,21,3174.3063633545557,0.7935765908386392,25394.450906836446,6.3486127267091135,336.74278435780894,113395.70281704982,0.05825176215253158,0.25,2.0,4,0.33753125,1.914518673210606,3.98525,12.4,24205.549093163554,0.17478125,1.6440886120804046
sq2_lr_global_malicious_lr_0.1,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.1,42,3152.3522690976106,0.7880880672744033,25218.818152780885,6.304704538195226,439.65057853565526,193292.63120673635,0.07740582472909363,0.25,2.25,5,0.35265625,1.8975132208575263,3.96675,12.4,24381.181847219115,0.17615625,1.6278238907505793
sq2_lr_global_malicious_lr_0.1,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.1,84,3207.8843827264936,0.8019710956816238,25663.07506181195,6.415768765452991,242.41558436654677,58765.315543774355,0.042079607291926946,0.375,1.5612781244591327,3,0.32409375,1.937601760747385,4.022,12.4,23936.92493818805,0.17178125,1.6141210718414538
sq2_lr_global_malicious_lr_0.25,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,1,3144.8170482441406,0.7862042620610351,25158.536385953124,6.289634096488281,267.97571735263944,71810.98509066169,0.046915280196178966,0.375,1.9056390622295662,4,0.334375,1.9183375650137686,3.99,12.4,24441.463614046876,0.1726875,1.651152094150647
sq2_lr_global_malicious_lr_0.25,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,7,3161.04024496886,0.7902600612422153,25288.32195975088,6.322080489937722,262.09022197202364,68691.28445334463,0.04502915486174586,0.375,1.9056390622295662,4,0.3345625,1.9163896329848173,3.98425,12.4,24311.67804024912,0.17615625,1.6514671282201265
sq2_lr_global_malicious_lr_0.25,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,21,3155.9719370068756,0.7889929842517194,25247.775496055005,6.311943874013755,332.00603025325535,110228.00412452551,0.059176489419099365,0.375,1.9056390622295662,4,0.33840625,1.9154736540673443,3.992,12.4,24352.224503944995,0.1740625,1.6562051627689203
sq2_lr_global_malicious_lr_0.25,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,42,3138.82546801468,0.7847063670036704,25110.60374411744,6.277650936029363,424.2966285032878,180027.62895925704,0.07514919417672816,0.375,2.1556390622295662,5,0.35171875,1.9024669798387235,3.98075,12.4,24489.39625588256,0.17746875,1.6356168381045644
sq2_lr_global_malicious_lr_0.25,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,84,3242.222028392548,0.8105555070981372,25937.776227140384,6.484444056785097,230.05244459771814,52924.12726538617,0.039883630918970736,0.25,2.0,4,0.32315625,1.941911159971679,4.031,12.4,23662.223772859616,0.17378125,1.5923287674164903
sq2_lr_global_malicious_lr_0.5,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.5,1,3122.6692818677193,0.7806673204669295,24981.354254941754,6.245338563735436,269.3857556267907,72568.685334617,0.04838973362256893,0.375,1.9056390622295662,4,0.33653125,1.9130707411816548,3.98075,12.4,24618.645745058246,0.172625,1.6876819335537814
sq2_lr_global_malicious_lr_0.5,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.5,7,3112.459852706171,0.7781149631765425,24899.67882164937,6.22491970541234,249.8335867143084,62416.821050535866,0.04526101086330958,0.25,2.0,4,0.3338125,1.923172998223587,4.0045,12.4,24700.32117835063,0.17584375,1.589353001168027
sq2_lr_global_malicious_lr_0.5,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.5,21,3212.858922049758,0.8032147305124391,25702.871376398063,6.425717844099513,347.44068764377005,120715.03143037579,0.05994578515949578,0.375,1.5612781244591327,3,0.33815625,1.9095278833640166,3.969,12.4,23897.128623601937,0.17315625,1.513985434947773
sq2_lr_global_malicious_lr_0.5,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.5,42,3158.8709284404786,0.7897177321101196,25270.96742752383,6.317741856880957,417.3366352121475,174169.86709019705,0.07378255797975242,0.375,1.9056390622295662,4,0.3506875,1.904662093517427,3.98,12.4,24329.03257247617,0.1745,1.6042959423509349
sq2_lr_global_malicious_lr_0.5,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.5,84,3224.232992843197,0.8060582482107982,25793.863942745575,6.4484659856863855,213.52130867029476,45591.34925627529,0.03740510058708946,0.375,2.1556390622295662,5,0.32190625,1.9475468744260886,4.05225,12.4,23806.136057254425,0.1738125,1.6589863177961328
sq2_lr_global_malicious_lr_0.75,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.75,1,3175.462189124925,0.7938655472812308,25403.6975129994,6.350924378249847,279.6275394994398,78191.56084651077,0.049015421270227844,0.375,1.9056390622295662,4,0.3360625,1.9173115310282445,3.99225,12.4,24196.3024870006,0.17165625,1.7071025701707399
sq2_lr_global_malicious_lr_0.75,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.75,7,3152.6052977617237,0.7881513244404318,25220.84238209379,6.305210595523454,259.4375097102054,67307.82144463292,0.04487197497271911,0.25,2.0,4,0.33171875,1.9221472466635208,3.99575,12.4,24379.15761790621,0.1753125,1.6936223214665582
